id,images
Double_Kettlebell_Push_Press,"Double_Kettlebell_Push_Press/0.jpg, Double_Kettlebell_Push_Press/1.jpg"
Double_Kettlebell_Snatch,"Double_Kettlebell_Snatch/0.jpg, Double_Kettlebell_Snatch/1.jpg"
Double_Kettlebell_Windmill,"Double_Kettlebell_Windmill/0.jpg, Double_Kettlebell_Windmill/1.jpg"
Double_Leg_Butt_Kick,"Double_Leg_Butt_Kick/0.jpg, Double_Leg_Butt_Kick/1.jpg"
Downward_Facing_Balance,"Downward_Facing_Balance/0.jpg, Downward_Facing_Balance/1.jpg"
Drag_Curl,"Drag_Curl/0.jpg, Drag_Curl/1.jpg"
Drop_Push,"Drop_Push/0.jpg, Drop_Push/1.jpg"
Dumbbell_Alternate_Bicep_Curl,"Dumbbell_Alternate_Bicep_Curl/0.jpg, Dumbbell_Alternate_Bicep_Curl/1.jpg"
Dumbbell_Bench_Press,"Dumbbell_Bench_Press/0.jpg, Dumbbell_Bench_Press/1.jpg"
Dumbbell_Bench_Press_with_Neutral_Grip,"Dumbbell_Bench_Press_with_Neutral_Grip/0.jpg, Dumbbell_Bench_Press_with_Neutral_Grip/1.jpg"
Dumbbell_Bicep_Curl,"Dumbbell_Bicep_Curl/0.jpg, Dumbbell_Bicep_Curl/1.jpg"
Dumbbell_Clean,"Dumbbell_Clean/0.jpg, Dumbbell_Clean/1.jpg"
Dumbbell_Floor_Press,"Dumbbell_Floor_Press/0.jpg, Dumbbell_Floor_Press/1.jpg"
Dumbbell_Flyes,"Dumbbell_Flyes/0.jpg, Dumbbell_Flyes/1.jpg"
Dumbbell_Incline_Row,"Dumbbell_Incline_Row/0.jpg, Dumbbell_Incline_Row/1.jpg"
Dumbbell_Incline_Shoulder_Raise,"Dumbbell_Incline_Shoulder_Raise/0.jpg, Dumbbell_Incline_Shoulder_Raise/1.jpg"
Dumbbell_Lunges,"Dumbbell_Lunges/0.jpg, Dumbbell_Lunges/1.jpg"
Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,"Dumbbell_Lying_One-Arm_Rear_Lateral_Raise/0.jpg, Dumbbell_Lying_One-Arm_Rear_Lateral_Raise/1.jpg"
Dumbbell_Lying_Pronation,"Dumbbell_Lying_Pronation/0.jpg, Dumbbell_Lying_Pronation/1.jpg"
Dumbbell_Lying_Rear_Lateral_Raise,"Dumbbell_Lying_Rear_Lateral_Raise/0.jpg, Dumbbell_Lying_Rear_Lateral_Raise/1.jpg"
Dumbbell_Lying_Supination,"Dumbbell_Lying_Supination/0.jpg, Dumbbell_Lying_Supination/1.jpg"
Dumbbell_One-Arm_Shoulder_Press,"Dumbbell_One-Arm_Shoulder_Press/0.jpg, Dumbbell_One-Arm_Shoulder_Press/1.jpg"
Dumbbell_One-Arm_Triceps_Extension,"Dumbbell_One-Arm_Triceps_Extension/0.jpg, Dumbbell_One-Arm_Triceps_Extension/1.jpg"
Dumbbell_One-Arm_Upright_Row,"Dumbbell_One-Arm_Upright_Row/0.jpg, Dumbbell_One-Arm_Upright_Row/1.jpg"
Dumbbell_Prone_Incline_Curl,"Dumbbell_Prone_Incline_Curl/0.jpg, Dumbbell_Prone_Incline_Curl/1.jpg"
Dumbbell_Raise,"Dumbbell_Raise/0.jpg, Dumbbell_Raise/1.jpg"
Dumbbell_Rear_Lunge,"Dumbbell_Rear_Lunge/0.jpg, Dumbbell_Rear_Lunge/1.jpg"
Dumbbell_Scaption,"Dumbbell_Scaption/0.jpg, Dumbbell_Scaption/1.jpg"
Dumbbell_Seated_Box_Jump,"Dumbbell_Seated_Box_Jump/0.jpg, Dumbbell_Seated_Box_Jump/1.jpg"
Dumbbell_Seated_One-Leg_Calf_Raise,"Dumbbell_Seated_One-Leg_Calf_Raise/0.jpg, Dumbbell_Seated_One-Leg_Calf_Raise/1.jpg"
Dumbbell_Shoulder_Press,"Dumbbell_Shoulder_Press/0.jpg, Dumbbell_Shoulder_Press/1.jpg"
Dumbbell_Shrug,"Dumbbell_Shrug/0.jpg, Dumbbell_Shrug/1.jpg"
